timestamp_sec,latitude_deg,longitude_deg,altitude_m,heading_deg,speed_ms,pitch_deg,roll_deg,yaw_rate_dps,mission_phase,waypoint_reached,active_failures
4.1,47.671,9.51232,0,90,15,0,0,0,cruise,0,
4.2,47.671,9.51234,0,90,15,0,0,0,cruise,0,
4.3,47.671,9.51236,0,90,15,0,0,0,cruise,0,
4.4,47.671,9.51238,0,90,15,0,0,0,cruise,0,
4.5,47.671,9.5124,0,90,15,0,0,0,cruise,0,
4.6,47.671,9.51242,0,90,15,0,0,0,cruise,0,
4.7,47.671,9.51244,0,90,15,0,0,0,cruise,0,
4.8,47.671,9.51246,0,90,15,0,0,0,cruise,0,
4.9,47.671,9.51248,0,90,15,0,0,0,cruise,0,
5,47.671,9.5125,0,90,15,0,0,0,cruise,0,
5.1,47.671,9.51252,0,90,15,0,0,0,cruise,0,
5.2,47.671,9.51254,0,90,15,0,0,0,cruise,0,
5.3,47.671,9.51256,0,90,15,0,0,0,cruise,0,
5.4,47.671,9.51258,0,90,15,0,0,0,cruise,0,
5.5,47.671,9.5126,0,90,15,0,0,0,cruise,0,
5.6,47.671,9.51262,0,90,15,0,0,0,cruise,0,
5.7,47.671,9.51264,0,90,15,0,0,0,cruise,0,
5.8,47.671,9.51266,0,90,15,0,0,0,cruise,0,
5.9,47.671,9.51268,0,90,15,0,0,0,cruise,0,
6,47.671,9.5127,0,90,15,0,0,0,cruise,0,
6.1,47.671,9.51272,0,90,15,0,0,0,cruise,0,
6.2,47.671,9.51274,0,90,15,0,0,0,cruise,0,
6.3,47.671,9.51276,0,90,15,0,0,0,cruise,0,
6.4,47.671,9.51278,0,90,15,0,0,0,cruise,0,
6.5,47.671,9.5128,0,90,15,0,0,0,cruise,0,
6.6,47.671,9.51282,0,90,15,0,0,0,cruise,0,
6.7,47.671,9.51284,0,90,15,0,0,0,cruise,0,
6.8,47.671,9.51286,0,90,15,0,0,0,cruise,0,
6.9,47.671,9.51288,0,90,15,0,0,0,cruise,0,
7,47.671,9.5129,0,90,15,0,0,0,cruise,0,
7.1,47.671,9.51292,0,90,15,0,0,0,cruise,0,
7.2,47.671,9.51294,0,90,15,0,0,0,cruise,0,
7.3,47.671,9.51296,0,90,15,0,0,0,cruise,0,
7.4,47.671,9.51298,0,90,15,0,0,0,cruise,0,
